title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	tissue	strain	age (years)	gender	genetic condition	diet	local_files
M2010	GSM2132892	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	20	Male	Wild Type	standard	GSM2132892_M2010.overlap.txt.gz
M2201	GSM2132893	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard	GSM2132893_M2201.overlap.txt.gz
M2202	GSM2132894	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard	GSM2132894_M2202.overlap.txt.gz
M2203	GSM2132895	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard	GSM2132895_M2203.overlap.txt.gz
M2204	GSM2132896	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard	GSM2132896_M2204.overlap.txt.gz
M2205	GSM2132897	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard	GSM2132897_M2205.overlap.txt.gz
M2206	GSM2132898	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard	GSM2132898_M2206.overlap.txt.gz
M2208	GSM2132899	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard	GSM2132899_M2208.overlap.txt.gz
M2209	GSM2132900	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard	GSM2132900_M2209.overlap.txt.gz
M2210	GSM2132901	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard	GSM2132901_M2210.overlap.txt.gz
M2401	GSM2132902	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard	GSM2132902_M2401.overlap.txt.gz
M2402	GSM2132903	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard	GSM2132903_M2402.overlap.txt.gz
M2403	GSM2132904	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard	GSM2132904_M2403.overlap.txt.gz
M2404	GSM2132905	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard	GSM2132905_M2404.overlap.txt.gz
M2405	GSM2132906	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard	GSM2132906_M2405.overlap.txt.gz
M2407	GSM2132907	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard	GSM2132907_M2407.overlap.txt.gz
M2408	GSM2132908	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard	GSM2132908_M2408.overlap.txt.gz
M2409	GSM2132909	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard	GSM2132909_M2409.overlap.txt.gz
M2411	GSM2132910	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard	GSM2132910_M2411.overlap.txt.gz
M2601	GSM2132911	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	26	Male	Wild Type	standard	GSM2132911_M2601.overlap.txt.gz
